title,caracteristicas_pelicula
Boys and Girls,"Ryan and Jennifer are opposites who definitely do not attract. At least that's what they always believed. When they met as twelve-year-olds, they disliked one another. When they met again as teenagers, they loathed each other. But when they meet in college, the uptight Ryan and the free-spirited Jennifer find that their differences bind them together and a rare friendship develops. 16000000 Warning: Sex Changes Everything 5.4 107.0 Comedy, Drama, Romance English"
Titan A.E.,"A young man finds out that he holds the key to restoring hope and ensuring survival for the human race, while an alien species called the Dredge are bent on mankind's destruction. 75000000 When Earth Ends, The Adventure Begins. 6.3 320.0 Animation, Action, Science Fiction, Family, Adventure English, 普通话"
Butterfly,"The film centres on Moncho and his coming-of-age experience in Galicia in 1936. Moncho develops a close relationship with his teacher Don Gregorio who introduces the boy to different things in the world. While the story centres on Moncho's ordinary coming-of-age experiences, tensions related to the looming Spanish Civil War periodically interrupt Moncho's personal growth and daily life. 3000000 Stop and taste the world. 7.2 44.0 Drama Català, Latin, Español"
Jesus' Son,"A young man turns from drug addiction and petty crime to a life redeemed by a discovery of compassion 0   6.7 22.0 Comedy, Drama, Romance English"
The Match,"The Match is a romantic comedy set against the story of a grudge football match between two pubs. The prize for the winner of the centenary match is the the closure of their opponent's bar. The Match was mainly filmed around Straiton in Ayrshire. 0 It's a game of two pubs! 5.8 6.0 Comedy, Romance English"
Time Regained,"Marcel Proust (1871-1922) is on his deathbed. Looking at photographs brings memories of his childhood, his youth, his lovers, and the way the Great War put an end to a stratum of society. His memories are in no particular order, they move back and forth in time. Marcel at various ages interacts with Odette, with the beautiful Gilberte and her doomed husband, with the pleasure-seeking Baron de Charlus, with Marcel's lover Albertine, and with others; present also in memory are Marcel's beloved mother and grandmother. It seems as if to live is to remember and to capture memories is to create a work of great art. The memories parallel the final volume of Proust's novel. 0   7.3 11.0 Drama, Foreign Français"
Chicken Run,"Having been hopelessly repressed and facing eventual certain death at the British chicken farm where they are held, Rocky the american rooster and Ginger the chicken decide to rebel against the evil Mr. and Mrs. Tweedy, the farm's owners. Rocky and Ginger lead their fellow chickens in a great escape from the murderous farmers and their farm of doom. 45000000 This ain't no chick flick. It's poultry in motion. 6.5 1190.0 Animation, Comedy, Family English"
"Me, Myself & Irene","Rhode Island State Trooper Charlie Baileygates has a multiple personality disorder. One personality is crazy and aggressive, while the other is more friendly and laid back. Both of these personalities fall in love with the same woman named Irene after Charlie loses his medication. 51000000 From gentle to mental. 6.1 956.0 Comedy English, Deutsch"
The Patriot,"After proving himself on the field of battle in the French and Indian War, Benjamin Martin wants nothing more to do with such things, preferring the simple life of a farmer. But when his son Gabriel enlists in the army to defend their new nation, America, against the British, Benjamin reluctantly returns to his old life to protect his son. 110000000 Some things are worth fighting for. 6.8 1130.0 Drama, History, War, Action English"
The Adventures of Rocky & Bullwinkle,"Rocky and Bullwinkle have been living off the finances made from the reruns of their cartoon show. Boris and Natasha somehow manage to crossover into reality and team up with Fearless Leader, an evil criminal turned media mogul with some evil plans up his sleeve. Rocky and Bullwinkle must stop the three of them before they wreak havoc. 76000000 This summer it's not the same old bull. 3.9 89.0 Action, Adventure, Animation, Comedy, Family Pусский"
The Perfect Storm,"In October 1991, a confluence of weather conditions combined to form a killer storm in the North Atlantic. Caught in the storm was the sword-fishing boat Andrea Gail. Magnificent foreshadowing and anticipation fill this true-life drama while minute details of the fishing boats, their gear and the weather are juxtaposed with the sea adventure. 120000000 The storm is coming. 6.2 609.0 Drama English"
The Golden Bowl,"An intricately plotted tale of thwarted love and betrayal, ""The Golden Bowl"" tells the story of an extravagantly rich American widower and his sheltered daughter, both of whom marry only to discover that their respective mates, a beautiful American expatriate and an impoverished Italian aristocrat, are entangled with one another in a romantic intrigue of seduction and deceit. 15000000   6.5 21.0 Romance, Drama English"
Asylum,"A young psychiatrist applies for a job at a mental asylum, and must pass a test by interviewing four patients. He must figure out which of the patients, is in fact, the doctor that he would be replacing if hired. 0 You have nothing to lose but your mind 5.9 25.0 Horror, Thriller, Mystery English"
Communion,"A novelist's wife and son see him changed by an apparent encounter with aliens in the mountains. 0 The true story of one man's terrifying journey into the unknown. 5.0 44.0 Drama, Horror, Science Fiction, Thriller English"
Fun & Fancy Free,"Jiminy Cricket hosts two Disney animated shorts: ""Bongo,"" about a circus bear escaping to the wild, and ""Mickey and the Beanstalk,"" a take on the famous fairy tale. 0 It's Got That DISNEY MAGIC! 6.2 64.0 Animation, Family, Music English"
The Kentucky Fried Movie,"A series of loosely connected skits that spoof news programs, commercials, porno films, kung-fu films, disaster films, blaxploitation films, spy films, mafia films, and the fear that somebody is watching you on the other side of the TV. 600000 This movie is totally out of control! 6.4 67.0 Comedy English"
Bound by Honor,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on half-brothers Paco and Cruz, and their bi-racial cousin Miklo. It opens in 1972, as the three are members of an East L.A. gang known as the ""Vatos Locos"", and the story focuses on how a violent crime and the influence of narcotics alter their lives. Miklo is incarcerated and sent to San Quentin, where he makes a ""home"" for himself. Cruz becomes an exceptional artist, but a heroin addiction overcomes him with tragic results. Paco becomes a cop and an enemy to his ""carnal"", Miklo. 35000000 An epic story of three brothers. Bound by blood. Divided by fate. Driven by destiny. 7.7 116.0 Action, Crime, Drama, Thriller English"
Daughter of Dr. Jekyll,"A young woman discovers she is the daughter of the infamous Dr. Jekyll, and begins to believe that she may also have a split personality, one of whom is a ruthless killer. 0 Blood-hungry spawn of the world's most bestial fiend! 5.5 2.0 Fantasy, Horror English, Deutsch"
F/X,"A movies special effects man is hired by a government agency to help stage the assassination of a well known gangster. When the agency double cross him, he uses his special effects to trap the gangster and the corrupt agents. 0 Murder by Illusion 6.4 91.0 Crime, Thriller, Action English"
F/X2,"F/X man Rollie Tyler is now a toymaker. Mike, the ex-husband of his girlfriend Kim, is a cop. He asks Rollie to help catch a killer. The operation goes well until some unknown man kills both the killer and Mike. Mike's boss, Silak says it was the killer who killed Mike but Rollie knows it wasn't. Obviously, Silak is involved with Mike's death, so he calls on Leo McCarthy, the cop from the last movie, who is now a P.I., for help and they discover it's not just Silak they have to worry about. 16400000 The Deadly Art of Illusion 5.8 38.0 Adventure, Action, Comedy, Thriller Český, English, Pусский"
The Hot Spot,"A loner moves in to a small Texas town, finds himself a job, and sets about plotting to rob the local bank. 0   6.4 48.0 Drama, Thriller, Crime, Romance English"
Missing in Action,"American servicemen are still being held captive in Vietnam and it's up to one man to bring them home in this blistering, fast-paced action/adventure starring martial arts superstar Chuck Norris.Following a daring escape from a Vietnamese POW camp, Special Forces Colonel James Braddock (Norris) is on a mission to locate and save remaining MIAs. 1500000 The war's not over until the last man comes home. 5.2 107.0 Action, Adventure, Thriller, War English, Tiếng Việt"
Missing in Action 2: The Beginning,"Prequel to the first Missing In Action, set in the early 1980s it shows the capture of Colonel Braddock during the Vietnam war in the 1970s, and his captivity with other American POWs in a brutal prison camp, and his plans to escape. 2410000 Chuck Norris is back! A one-man time bomb set to explode! 5.0 65.0 Action, Adventure, War English, Tiếng Việt"
Braddock: Missing in Action III,"When Colonel James Braddock is told that his Asian wife and 12-year-old son are still alive in Communist Vietnam, he mounts a one-man assault to free them. Armed with the latest high-tech firepower, Braddock fights his way into the heart of the country and ends up battling his way out with several dozen abused Amerasian children in tow! Struggling to keep them alive while outmaneuvering a sadistic Vietnamese officer, Braddock ignites the jungle in a blazing cross-country race for freedom. 0 He's fighting for everyone who can't fight back. 4.8 55.0 Action, War English, Português"
Thunderbolt and Lightfoot,"With the help of an irreverent young sidekick, a bank robber gets his old gang back together to organise a daring new heist. 0 Thunderbolt… the man with the reputation. Lightfoot… the kid who's about to make one! 6.6 113.0 Action, Adventure, Comedy, Crime English"
Dreamscape,"A government funded project looks into using psychics to enter people's dreams, with some mechanical help. When a subject dies in his sleep from a heart attack Alex Gardner becomes suspicious that another of the psychics is killing people in the dreams somehow and that is causing them to die in real life. He must find a way to stop the abuse of the power to enter dreams. 0 Close your eyes and the adventure begins. 6.0 72.0 Adventure, Horror, Science Fiction, Thriller English"
The Golden Voyage of Sinbad,"Sinbad and his crew intercept a homunculus carrying a golden tablet. Koura, the creator of the homunculus and practitioner of evil magic, wants the tablet back and pursues Sinbad. Meanwhile Sinbad meets the Vizier who has another part of the interlocking golden map, and they mount a quest across the seas to solve the riddle of the map. 0 Dynarama Means Supreme Adventure! 6.4 54.0 Action, Adventure, Drama, Fantasy العربية, English"
Hatchet for the Honeymoon,"A madman haunted by the ghost of his ex-wife carves a corpse-laden trail. 0 When you chop - Aim well! Don't slip! And just make sure - She doesn't drip! 7.0 19.0 Horror, Foreign Italiano"
House Party,"Young Kid has been invited to a party at his friend Play's house. But after a fight at school, Kid's father grounds him. None the less, Kid sneaks out when his father falls asleep. But Kid doesn't know that three of the thugs at school have decided to give him a lesson in behavior. 2500000 If they get caught it's all over. If they don't, it's just the beginning! 6.1 52.0 Comedy, Drama English"
House Party 2,Kid'N'Play leave their neighborhood and enter the world of adulthood and higher education. Play attempts to get rich quick in the music business while Kid faces the challenges of college. 0   4.7 22.0 Comedy English
Make Mine Music,"In the tradition of Fantasia, Make Mine Music is a glorious collection of nine musically charged animated shorts featuring such fun-filled favorites as ""Peter And The Wolf"", narrated by the beloved voice behind Winnie The Pooh. In addition, you'll enjoy such classic cartoon hits as ""Casey At The Bat,"" ""The Whale Who Wanted To Sing At The Met"" and ""Johnnie Fedora And Alice Bluebonnet."" 68 Happy Comedy Musical 5.2 33.0 Animation, Family, Music English"
Melody Time,"Melody Time is an animated feature produced by Walt Disney and released to theatres by RKO Radio Pictures. Made up of several sequences set to popular music and folk music, the film is, like Make Mine Music before it, the contemporary version of Fantasia. 2000000   6.3 42.0 Music, Family, Animation English"
Nekromantik,"A street sweeper who cleans up after grisly accidents brings home a full corpse for him and his wife to enjoy sexually, but is dismayed to see that his wife prefers the corpse over him. 0   5.4 51.0 Drama, Horror Deutsch"
On Our Merry Way,"Oliver Pease gets a dose of courage from his wife Martha and tricks the editor of the paper (where he writes lost pet notices) into assigning him the day's roving question. Martha suggests, ""Has a little child ever changed your life?"" Oliver gets answers from two slow-talking musicians, an actress whose roles usually feature a sarong, and an itinerant cardsharp. In each case the ""little child"" is hardly innocent: in the first, a local auto mechanic's ""baby"" turns out to be fully developed as a woman and a musician; in the second, a spoiled child star learns kindness; in the third, the family of a lost brat doesn't want him returned. And Oliver, what becomes of him? 0 She's the queen of a Hollywood tong - and a queen, friends, can do nothing wrong! Her public she serves By displaying those curves..She's a miracle in a sarong! 6.0 1.0 Romance, Comedy, Music English"
Project Moon Base,"In the future (1970) the US sends a mission to the moon to investigate the building of a moon base. 0 They found romance 100,000 miles from the earth! 2.5 4.0 Science Fiction English"
Rocketship X-M,"Astronauts blast off to explore the moon on Rocketship X-M or ""Rocketship eXploration Moon"". A spacecraft malfunction and some fuel miscalculations cause them to end up landing on Mars. On Mars, evidence of a once powerful civilization is found. The scientists determined that an atomic war destroyed most of the Martians. Those that survived reverted to a caveman like existence. 0 The screen's first story of man's conquest of space! 5.1 15.0 Science Fiction English"
Shaft in Africa,"Detective John Shaft travels incognito to Ethiopia, then France, to bust a human trafficking ring. 2142000 Shaft is stickin' it...all the way. 5.4 6.0 Adventure, Action, Thriller, Crime, Mystery English"
Shaft's Big Score!,"John Shaft is back as the lady-loved black detective cop on the search for the murderer of a client. 1978000 Last time he was nice. This time he's ice! 6.1 7.0 Action, Adventure, Crime, Mystery English"
Croupier,"Jack Manfred is an aspiring writer who to make ends meet, takes a job as a croupier. Jack remains an observer, knowing that everything in life is a gamble and that gamblers are born to lose. Inevitably, he gets sucked into the world of the casino which takes its toll on his relationships and the novel he is writing. 0 Life's a Gamble 6.7 80.0 Drama, Thriller English"
Scary Movie,"Following on the heels of popular teen-scream horror movies, with uproarious comedy and biting satire. Marlon and Shawn Wayans, Shannon Elizabeth and Carmen Electra pitch in to skewer some of Hollywood's biggest blockbusters, including Scream, I Know What You Did Last Summer, The Matrix, American Pie and The Blair Witch Project. 19000000 No mercy. No shame. No sequel. 6.0 1468.0 Comedy English"
But I'm a Cheerleader,"Megan is an all-American girl. A cheerleader. She has a boyfriend. But Megan doesn't like kissing her boyfriend very much. And she's pretty touchy with her cheerleader friends. Her conservative parents worry that she must be a lesbian and send her off to ""sexual redirection"" school, where she must learn how to be straight. 1200000 A Comedy Of Sexual Disorientation. 6.5 101.0 Comedy English"
Shower,"An aged father and his younger, mentally challenged son have been working hard every day to keep the bathhouse running for a motley group of regular customers. When his elder son, who left years ago to seek his fortune in the southern city of Shenzhen, abruptly returns one day, it once again puts under stress the long-broken father-son ties. Presented as a light-hearted comedy, Shower explores the value of family, friendship, and tradition. 0   6.8 20.0 Comedy, Drama, Foreign English, 普通话, Español"
Blow-Up,"A successful mod photographer in London whose world is bounded by fashion, pop music, marijuana, and easy sex, feels his life is boring and despairing. But in the course of a single day he accidentally captures on film the commission of a murder. The fact that he has photographed a murder does not occur to him until he studies and then blows up his negatives, uncovering details, blowing up smaller and smaller elements, and finally putting the puzzle together. 0 Michelangelo Antonioni's first British film 7.3 227.0 Drama, Mystery, Thriller English"
The Pawnbroker,"A Jewish pawnbroker, a victim of Nazi persecution, loses all faith in his fellow man until he realizes too late the tragedy of his actions. 500000   7.3 31.0 Drama English, Deutsch, Español"
Groove,"An inside look into one night in the San Francisco underground rave scene. 0 Are you feeling it? 5.6 6.0 Drama, Music, Romance English"
Footloose,"When teenager Ren and his family move from big-city Chicago to a small town in the West, he's in for a real case of culture shock. 8200000   6.4 525.0 Drama, Family, Music, Romance English"
Duel in the Sun,"Beautiful half-breed Pearl Chavez becomes the ward of her dead father's first love and finds herself torn between her sons, one good and the other bad. 6000000 Emotions . . . As Violent As The Wind-Swept Prairie ! 6.2 38.0 Western English"
X-Men,"Two mutants, Rogue and Wolverine, come to a private academy for their kind whose resident superhero team, the X-Men, must oppose a terrorist organization with similar powers. 75000000 Evolution Begins 6.8 4172.0 Adventure, Action, Science Fiction English"
Chuck & Buck,"Buck is a man-child who has lived his existence in a life of kindergarten collages and lollipops. Buck remembers his old childhood friend Chuck, with whom he feels a need to reconnect with after having invited him to his mother's funeral. Buck treks out to LA where Chuck, now a music record executive, is living his life. Buck ends up developing an obsession with Chuck and begins stalking him. 0 REMEMBER THOSE GAMES WE USED TO PLAY? 5.7 17.0 Comedy, Drama English"
The Five Senses,"Three sets of tenants in a live/work building have daily lives and/or current stories acutely involving one or more of the five senses. 0   6.6 8.0 Drama English, Français, Italiano"
The Wisdom of Crocodiles,"A vampire in London is searching for the ideal woman to 'redeem' him. 0   5.8 28.0 Drama, Fantasy, Horror English"
The In Crowd,"A mentally disturbed young woman takes a job at a posh country club and falls in with a clique of wealthy college kids where she's taken under the wing of the clique's twisted leader, who harbors some dark secrets too terrifying to tell. 15000000 What would you do to get in? 4.7 15.0 Thriller English, Français"
What Lies Beneath,"When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on. 100000000 He was the perfect husband until his one mistake followed them home. 6.3 504.0 Drama, Horror, Mystery, Thriller English"
Pokémon: The Movie 2000,"Ash Ketchum must put his skill to the test when he attempts to save the world from destruction. The Greedy Pokemon collector Lawrence III throws the universe into chaos after disrupting the balance of nature by capturing one of the Pokemon birds that rule the elements of fire, lightning and ice. Will Ash have what it takes to save the world? 30000000 One Person Can Make All The Difference! 6.4 201.0 Adventure, Fantasy, Animation, Science Fiction, Family 日本語, English"
Criminal Lovers,"After a perverted impulse drives them to kill, Alice and her boyfriend, Luc, drag the body into the woods, only to find themselves hopelessly lost – much like the fairy-tale plight of Hansel and Gretel. Starving and with no hope of being found, they chance upon a dilapidated cottage where a hulking man takes them prisoner and proceeds to feed Luc's sexual appetite. 0 Their idea of foreplay was murder 6.6 28.0 Horror, Thriller, Romance Français"
Anatomy of a Murder,"The film pits a humble small-town lawyer against a hard-headed big city prosecutor. Emotions flare as a jealous army lieutenant pleads innocent to murdering the rapist of his seductive, beautiful wife. 0 No search of human emotions has ever probed so deeply, so truthfully as ... Anatomy of a Murder. 7.7 207.0 Crime, Drama, Mystery, Thriller English"
Freejack,"Time-traveling bounty hunters find a doomed race-car driver in the past and bring him to 2009 New York, where his mind will be replaced with that of a terminally ill billionaire. 0 Don't let the future pass you by. 5.0 91.0 Science Fiction English"
Greaser's Palace,"A parable based on the life of Christ. This ain't your father's Bible story, full of references about the destruction of the world through massive constipation and a New Mexican setting. 0 He's got the boogie on his fingers & the hubba-hubba in his soul! 5.6 9.0 Western, Comedy English"
H.O.T.S.,Four girls spurned by the popular Sorority on campus decide to start their own and steal all the men on campus away from the house that rejected them. 0 Some like it H.O.T.S.! 5.1 9.0 Comedy English
Knightriders,George Romero's unusual story of a modern-day Renaissance troupe whose participants follow a medieval code of honor. 3000000 The Games...The Romance...The Spirit...Camelot is a state of mind. 6.5 17.0 Drama English
Mackenna's Gold,"The gangster Colorado kidnaps Marshal McKenna. He believes that McKenna has seen a map which leads to a rich vein of gold in the mountains and forces him to show him the way. But they're not the only ones who're after the gold; soon they meet a group of ""honorable"" citizens and the cavalry crosses their way too - and that is even before they enter Indian territory. 7000000 A Giant of a movie 6.4 44.0 Adventure, Action, Western English"
Sinbad and the Eye of the Tiger,"Princess Farah refuses to marry Sinbad until Prince Kassim, her brother, is able to give his consent. However, the Prince's wicked stepmother, Queen Zenobia, has changed Kassim into a baboon in order to have her own son crowned as caliph. Sinbad, his crew, the Princess and the transformed Prince travel to a distant land, fighting every obstacle Zenobia places in their path, to seek the advice of a legendary wise man who can possibly tell how to end the spell. 3500000 New!! Sinbad's Boldest And Most Daring Adventure! 6.3 39.0 Action, Adventure, Family, Fantasy, Science Fiction English"
Two Women,"Cesira and her 13-year-old daughter, Rosetta, flee from the allied bombs in Rome during the second world war. They travel to the village where Cesira was born. During their journey and in the village, the mother does everything to protect Rosetta. However, on one occasion they both get raped by soldiers hiding in a church. This cruel event is too much for the always powerful fighting Cesira and she suffers from a breakdown. During their stay in the village, a young intellectual, Michele falls in love with Cesira who does not know how to reply to the advances of such a gentleman. 0 Suddenly, Love Becomes Lust... Innocence becomes shame... As two women are trapped by violent passion and unforgettable terror! 7.6 63.0 Drama Deutsch, Italiano"
What About Bob?,"Before going on vacation, self-involved psychiatrist Dr. Leo Marvin has the misfortune of taking on a new patient: Bob Wiley. An exemplar of neediness and a compendium of phobias, Bob follows Marvin to his family's country house. Dr. Marvin tries to get him to leave; the trouble is, everyone loves Bob. As his oblivious patient makes himself at home, Dr. Marvin loses his professional composure and, before long, may be ready for the loony bin himself. 35000000 Bob's a special kind of friend. The kind that drives you crazy! 6.7 265.0 Comedy English"
White Sands,"A small southwestern town sheriff finds a body in the desert with a suitcase and $500,000. He impersonates the man and stumbles into an FBI investigation. 0 Crime Drama Thriller 5.5 30.0 Action, Crime, Drama, Mystery, Thriller English, Español"
Breaker Morant,"During the Boer War, three Australian lieutenants are on trial for shooting Boer prisoners. Though they acted under orders, they are being used as scapegoats by the General Staff, who hopes to distance themselves from the irregular practices of the war. The trial does not progress as smoothly as expected by the General Staff, as the defence puts up a strong fight in the courtroom. 107   7.2 37.0 Drama, History, War Afrikaans, English"
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,"A collection of seven vignettes, which each address a question concerning human sexuality. 2000000   6.6 218.0 Comedy English, Italiano"
Interiors,"A look at a dysfunctional family dominated by the controlling madness of its matriarch, Eve. Her reluctant husband and their three daughters make doomed efforts to cope with Eve's demands, while also trying to get on with their own lives. But, all bets are off when an ebullient stranger enters the picture. 0   6.7 92.0 Drama English"
Love and Death,"Set in 19th-century Russia, Allen is a cowardly serf drafted into the Napoleonic war, who would rather write poetry and obsess over his beautiful but pretentious cousin. Allen's cowardice serves him well when he hides in a cannon and is shot into a tent of French soldiers, making him a national hero. A hilarious parody of Russian literature, Love and Death is a must-see for fans of Allen's films. 3000000   7.5 176.0 History, Comedy English"
The Official Story,"After the end of the Dirty War, a high school teacher sets out to find out who the mother of her adopted daughter is. 0 Our Moving Story 7.3 24.0 Drama, History English, Español"
The Other Side of Sunday,"The Other Side of Sunday, also known in Norwegian as ""Søndagsengler"", is a movie that criticizes the small, and often tight, church community. We follow the Preacher's Daughter, Maria, on her journey to liberate herself from the stiff church community and her father. 0   5.0 1.0 Drama, Comedy, Foreign Norsk"
Pot o' Gold,"Jimmy, the owner of a failed music shop, goes to work with his uncle, the owner of a food factory. Before he gets there, he befriends an Irish family who happens to be his uncle's worst enemy because of their love for music and in-house band who constantly practices. Soon, Jimmy finds himself trying to help the band by getting them gigs and trying to reconcile the family with his uncle. 0 It's the prize romantic laugh of the year... more fun than winning the POT O' GOLD! 7.3 3.0 Music, Romance English"
Tampopo,"A pair of truck drivers happen onto a decrepit roadside fast food stop selling ramen noodles. The widowed owner, Tampopo, pleads them to help her turn her establishment into a paragon of the ""art of noodle soup making"". 0   7.9 57.0 Comedy 日本語"
Thomas and the Magic Railroad,"Mr. Conductor's supply of magic gold dust, which allows him to travel between Shining Time and Thomas's island, is critically low. Unfortunately, he doesn't know how to get more. Meanwhile, Thomas is fending off attacks by the nasty diesel engines. Getting more gold dust will require help from Mr. C's slacker cousin, his new friend Lily and her morose grandfather, plus the secret engine. 0 Little Engines CAN Do Big Things... 4.8 10.0 Animation, Drama, Family, Science Fiction English, Deutsch"
Nutty Professor II: The Klumps,"The hilarity begins when professor Sherman Klump finds romance with fellow DNA specialist, Denise Gaines, and discovers a brilliant formula that reverses aging. But Sherman's thin and obnoxious alter ego, Buddy Love, wants out...and a big piece of the action. And when Buddy gets loose, things get seriously nutty. 84000000 The Klumps are back! 4.7 338.0 Fantasy, Comedy, Romance, Science Fiction English"
The Girl on the Bridge,"It's night on a Paris bridge. A girl leans over Seine River with tears in her eyes and a violent yearning to drown her sorrows. Out of nowhere someone takes an interest in her. He is Gabor, a knife thrower who needs a human target for his show. The girl, Adele, has never been lucky and nowhere else to go. So she follows him. They travel along the northern bank of the Mediterranean to perform. 0   7.1 34.0 Drama, Comedy, Romance Français, ελληνικά, Italiano"
Autumn in New York,"Autumn in New York follows the sexual exploits of Will Keane - New York restaurateur, infamous verging-on-50 playboy, master of the no-commitment seduction - until he runs into an unexpected dead end when he meets Charlotte Fielding. Charlotte is half Will's age and twice his match, a 21 year-old free spirit yearning to get out and taste the excitement of adult life. 65000000 He fell in love for the first time. She fell in love forever. 5.7 144.0 Drama, Romance English"
Coyote Ugly,"Graced with a velvet voice, 21-year-old Violet Sanford heads to New York to pursue her dream of becoming a songwriter only to find her aspirations sidelined by the accolades and notoriety she receives at her ""day"" job as a barmaid at Coyote Ugly. The ""Coyotes"" as they are affectionately called tantalize customers and the media alike with their outrageous antics, making Coyote Ugly the watering hole for guys on the prowl. 45000000 This party never ends. 5.8 590.0 Comedy, Drama, Music, Romance English"
Hollow Man,"Cocky researcher, Sebastian Caine is working on a project to make living creatures invisible and he's so confident he's found the right formula that he tests it on himself and soon begins to vanish. The only problem is – no-one can determine how to make him visible again. Caine's predicament eventually drives him mad, with terrifying results. 95000000 What would you do if you knew you couldn't be seen? 5.6 645.0 Action, Science Fiction, Thriller English"
Space Cowboys,"Frank Corvin, ‘Hawk’ Hawkins, Jerry O'Neill and ‘Tank’ Sullivan were hotdog members of Project Daedalus, the Air Force's test program for space travel, but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps. They blackmail their way into orbit when Russia's mysterious ‘Ikon’ communications satellite's orbit begins to degrade and threatens to crash to Earth. 65000000 Space will never be the same. 6.3 407.0 Action, Adventure, Thriller English"
Better Living,"A comedy about families, the elements that bind them together, and about hope in the face of hardship. 0   1.0 1.0 Comedy "
Mad About Mambo,"High school student tries to improve soccer skills by practicing dance and falls for his dance partner. 0 Fall in love... With the beat 4.6 7.0 Comedy, Romance, Foreign English"
Psycho Beach Party,"Spoof of 1960's Beach Party/Gidget surfing movies mixed with slasher horror films. A not-so-innocent girl in 1960's Malibu becomes the first girl surfer at Malibu Beach, only she suffers from dissociative identity disorder and occasionally her alter ego, a sexually aggressive, foul-speaking girl, comes out. During her ""episodes"" several beach goers are found murdered. 1500000 Party till you drop. Dead. 6.0 26.0 Comedy English"
Saving Grace,"Unexpectedly widowed, prim and proper housewife Grace Trevethyn finds herself in dire financial straits when she inherits massive debts her late husband had been accruing for years. Faced with losing her house, she decides to use her talent for horticulture and hatches a plan to grow potent marijuana which can be sold at an astronomical price, thus solving her financial crisis. 10000000   6.3 115.0 Crime, Comedy Français, English"
Black Sabbath,"Black Sabbath is a 1963 Italian horror film directed by Mario Bava. Boris Karloff, in addition to appearing in the linking passages, has a role in ""The Wurdalak"" segment (based on a story by Aleksey Konstantinovich Tolstoy). The film comprises three horror stories, the others being ""The Drop of Water"" and ""The Telephone."" 0 This is the night of the nightmare 6.9 72.0 Horror Italiano"
The Brain That Wouldn't Die,"Dr. Bill Cortner (Jason Evers) and his fiancée, Jan Compton (Virginia Leith), are driving to his lab when they get into a horrible car accident. Compton is decapitated. But Cortner is not fazed by this seemingly insurmountable hurdle. His expertise is in transplants, and he is excited to perform the first head transplant. Keeping Compton's head alive in his lab, Cortner plans the groundbreaking yet unorthodox surgery. First, however, he needs a body. 62000 Alive... without a body... fed by an unspeakable horror from hell! 4.4 34.0 Horror, Science Fiction English"
Bronco Billy,"An idealistic, modern-day cowboy struggles to keep his Wild West show afloat in the face of hard luck and waning interest. 0 The most outrageous of 'em all. 5.2 51.0 Action, Comedy, Drama, Romance, Western English, Deutsch"
The Crush,"A precocious and obsessive teenager develops a crush on a naive writer with harrowing consequences. 6000000 He thought it was just a crush. He was dead wrong. 5.5 65.0 Drama, Thriller English"
Kelly's Heroes,"A misfit group of World War II American soldiers goes AWOL to rob a bank behind German lines. 4000000 They set out to rob a bank... and damn near won a war instead! 7.2 191.0 Adventure, Comedy, War English, Français, Deutsch"
Phantasm II,"Mike, after his release from a psychiatric hospital, teams up with his old pal Reggie to hunt down the Tall Man, who is at it again. A mysterious, beautiful girl has also become part of Mike's dreams, and they must find her before the Tall Man does. 3000000 The ball is back! 6.3 97.0 Action, Horror, Science Fiction, Thriller English"
Phantasm III: Lord of the Dead,"The Tall Man, that imposing menace from Morningside Mortuary, is back and once again haunting the thoughts of the now-adult Mike and his friend, ex-Ice Cream vendor Reggie. The two continue their hunt for the mysterious figure and in his path of destruction encounter a variety of dangerous situations, friends and enemies. 2500000   5.6 56.0 Horror, Action, Science Fiction English"
Phantasm IV: Oblivion,"Taking off immediately where the last one ended, in this episode Mike travels across dimensions and time fleeing from the Tall Man, at the same time he tries to find the origins of his enemy, and what really happened the night that his brother died. Meanwhile, Reggie battles the spheres and the undead in a quest to find Mike before the Tall Man can complete his transformation. 650000 You Can't Go Forward Until You've Gone Back. 4.9 48.0 Horror, Science Fiction English"
Pumpkinhead,"A man conjures up a gigantic vengeance demon called Pumpkinhead to destroy the teenagers who accidentally killed his son. 3500000 For each of man's evils a special demon exists... 5.9 108.0 Fantasy, Horror English"
Air America,"Air America was the CIA's private airline operating in Laos during the Vietnam War, running anything and everything from soldiers to foodstuffs for local villagers. After losing his pilot's license, Billy Covington is recruited into it, and ends up in the middle of a bunch of lunatic pilots, gun-running by his friend Gene Ryack, and opium smuggling by his own superiors. 0 The few. The proud. The totally insane. 5.3 146.0 Action, Adventure, Comedy, Drama English, "
Sleepaway Camp,"Slightly disturbed and painfully shy Angela Baker is sent away to summer camp with her cousin. Not long after Angela's arrival, things start to go horribly wrong for anyone with sinister or less than honorable intentions. 350000 …you won't be coming home! 6.1 124.0 Horror English"
Steel Magnolias,"This heart wrenching drama is about a beauty shop, in Louisana owned by Truvy, and the tragedies of all of her clients. 0 The funniest movie ever to make you cry. 7.1 146.0 Comedy, Drama, Romance English"
